SURVEY_DATE,PRODUCT_ID,PRODUCT_NAME,,VAT,EXCISE,NET,CHANGE,PRICE
18-06-2007,2,Automotive gas oil,,191.98,423,536.92,1.13,1151.9
18-06-2007,3,Heating gas oil,,184.57,403.21,519.67,3.61,1107.45
18-06-2007,5,LPG,,102.41,125.27,386.79,-1.5,614.47
18-06-2007,6,Residual fuel oil,,62.52,166.84,458.34,4.42,687.7
18-06-2007,8,Heavy fuel oil,,0,31.39,316.16,4.54,347.55
25-06-2007,1,Euro-Super 95,,225.16,564,561.77,4.79,1350.93
25-06-2007,2,Automotive gas oil,,192.72,423,540.63,4.45,1156.35
25-06-2007,3,Heating gas oil,,185.42,403.21,523.86,5.04,1112.49
25-06-2007,5,LPG,,102.41,125.27,386.79,0,614.47
25-06-2007,6,Residual fuel oil,,63.09,166.84,464.1,6.33,694.03
25-06-2007,8,Heavy fuel oil,,0,31.39,318.71,2.55,350.1
02-07-2007,1,Euro-Super 95,,225.18,564,561.91,0.16,1351.09
02-07-2007,2,Automotive gas oil,,192.97,423,541.84,1.46,1157.81
